name,lon,lat,east_disp,north_disp,up_disp,east_sig,north_sig,up_sig,
"TPW2",236.2319,46.2092,-2.9359,-1.8044,0,0.077742,0.058574,1,
"TRI1",237.8127,47.7088,0,0,0,1,1,1,
"TRND",235.8491,41.0539,0,0,0,1,1,1,
"TUMW",237.0879,46.9842,0,0,0,1,1,1,
"TWHL",237.0771,47.0159,-3.3982,-2.6401,0,0.056521,0.050956,1,
"UCLU",234.4584,48.9256,0,0,0,1,1,1,
"UFDA",237.3329,47.755,-6.0369,-1.9389,0,0.089856,0.081735,1,
"VCWA",237.484,45.6176,0,0,0,1,1,1,
"VERN",237.6629,48.4178,-5.5896,-2.5517,0,0.050359,0.054191,1,
"WACO",237.0095,45.5231,0,0,0,1,1,1,
"WACS",237.0305,46.6754,0,0,0,1,1,1,
"WAEV",237.7923,47.9815,0,0,0,1,1,1,
"WAOY",237.1612,47.0479,0,0,0,1,1,1,
"WDBN",237.13,45.1708,0,0,0,1,1,1,
"WEBG",237.4372,45.7795,0,0,0,1,1,1,
"WEEZ",237.7954,47.9767,0,0,0,1,1,1,
"WHD1",237.3039,48.3127,0,0,0,1,1,1,
"WMSG",238.4028,45.1312,0,0,0,1,1,1,
"WOST",233.3951,50.2123,0,0,0,1,1,1,
"YBHB",237.289,41.7316,0,0,0,1,1,1,
"YELM",237.3945,46.9488,-4.8261,-1.5402,0,0.038603,0.027151,1,
"YONC",236.7017,43.6341,0,0,0,1,1,1,
"ZSE1",237.812,47.2869,-3.258,-1.6235,0,0.088878,0.094486,1,

